,logFC,PValue,FDR
TOX4,0.049,0.59,0.95
TRIM66,-0.1,0.59,0.95
TUT1,-0.071,0.59,0.95
TXNL4A,0.057,0.59,0.95
UBA6,0.056,0.59,0.95
UFM1,-0.051,0.59,0.95
USP21,0.067,0.59,0.95
USP25,-0.08,0.59,0.95
VAV2,-0.062,0.59,0.95
WHAMMP3,0.11,0.59,0.95
ZNF148,0.058,0.59,0.95
ZNF160,-0.083,0.59,0.95
ZNF225,-0.13,0.59,0.95
ZNF354C,0.14,0.59,0.95
ZNF568,0.2,0.59,0.95
ZSCAN25,-0.07,0.59,0.95
ZSCAN5A,0.095,0.59,0.95
ZZEF1,0.067,0.59,0.95
AAK1,0.092,0.6,0.95
ABCA11P,-0.22,0.6,0.95
ABHD12,0.066,0.6,0.95
ABHD3,0.055,0.6,0.95
ACCS,0.071,0.6,0.95
ACE,0.28,0.6,0.95
ADAMTSL5,0.21,0.6,0.95
AGPAT3,0.073,0.6,0.95
AGRN,0.065,0.6,0.95
AKAP6,-0.24,0.6,0.95
ARHGEF3,0.083,0.6,0.95
ARHGEF9,-0.082,0.6,0.95
ATP5PO,0.066,0.6,0.95
ATP9A,0.11,0.6,0.95
B4GALT2,-0.066,0.6,0.95
BMP8B,0.078,0.6,0.95
CABIN1,-0.064,0.6,0.95
CACUL1,0.069,0.6,0.95
CALM3,-0.04,0.6,0.95
CCDC115,0.067,0.6,0.95
CCDC134,-0.1,0.6,0.95
CCDC180,0.13,0.6,0.95
CDKN1C,0.26,0.6,0.95
CELSR2,-0.095,0.6,0.95
CHPT1,0.058,0.6,0.95
CIAO2B,-0.076,0.6,0.95
CNPY3,0.046,0.6,0.95
COG7,-0.06,0.6,0.95
CREB3L2,0.079,0.6,0.95
CRYBG3,-0.081,0.6,0.95
CTDSPL,0.06,0.6,0.95
CYB5R3,0.049,0.6,0.95
DENND2D,0.22,0.6,0.95
description:transmembrane,-0.16,0.6,0.95
DNAJC13,0.064,0.6,0.95
DNAJC25,-0.068,0.6,0.95
DNAJC8,-0.081,0.6,0.95
DPH7,0.074,0.6,0.95
EFCAB14,-0.062,0.6,0.95
EID3,-0.097,0.6,0.95
EIF4E3,-0.1,0.6,0.95
EIF4EBP1,0.056,0.6,0.95
EIF4EBP2,0.073,0.6,0.95
EMC4,-0.047,0.6,0.95
EPS8L1,0.12,0.6,0.95
ERI3,-0.06,0.6,0.95
ERICH1,-0.076,0.6,0.95
ERMAP,-0.1,0.6,0.95
F5,-0.31,0.6,0.95
FAXC,0.11,0.6,0.95
FBN2,-0.17,0.6,0.95
GABRP,0.17,0.6,0.95
GDF9,-0.33,0.6,0.95
GLUD1,-0.045,0.6,0.95
GNAL,0.09,0.6,0.95
GOLGA2P5,0.13,0.6,0.95
GOLGA4,0.07,0.6,0.95
GRK4,0.2,0.6,0.95
GTF2IP20,-0.12,0.6,0.95
GUCA1B,-0.24,0.6,0.95
HDLBP,0.071,0.6,0.95
HIC1,-0.24,0.6,0.95
HRNR,-0.2,0.6,0.95
HSDL1,0.061,0.6,0.95
HSPBP1,-0.058,0.6,0.95
HTATIP2,-0.046,0.6,0.95
IFI16,0.25,0.6,0.95
INCA1,0.16,0.6,0.95
KBTBD7,-0.095,0.6,0.95
KDM4D,0.27,0.6,0.95
KLHL22,-0.072,0.6,0.95
KMT5C,-0.077,0.6,0.95
KRT8,-0.063,0.6,0.95
LYZ,-0.23,0.6,0.95
MAP4,0.077,0.6,0.95
MDH1B,-0.18,0.6,0.95
MMP17,0.11,0.6,0.95
MORN2,0.082,0.6,0.95
MOXD1,0.23,0.6,0.95
MPC2,-0.091,0.6,0.95
MTA3,0.057,0.6,0.95
MYEF2,-0.053,0.6,0.95
MYL6B,-0.056,0.6,0.95
NANS,-0.06,0.6,0.95
NDUFA8,0.044,0.6,0.95
NDUFAF6,-0.074,0.6,0.95
NDUFS6,0.054,0.6,0.95
NOL11,0.047,0.6,0.95
NPHS1,0.26,0.6,0.95
NSMF,-0.063,0.6,0.95
OSTM1,0.069,0.6,0.95
PCDHGB5,0.21,0.6,0.95
PGGHG,0.088,0.6,0.95
PHF20L1,0.049,0.6,0.95
PI4K2B,0.063,0.6,0.95
PITRM1,-0.073,0.6,0.95
POMK,0.088,0.6,0.95
PPIAP46,0.26,0.6,0.95
PSMG1,-0.059,0.6,0.95
RASD2,0.16,0.6,0.95
RB1,-0.065,0.6,0.95
RBP5,0.12,0.6,0.95
RGL3,0.16,0.6,0.95
RIC1,0.062,0.6,0.95
RPS26P19,0.84,0.6,0.95
RRAGC,0.067,0.6,0.95
S100A1,-0.22,0.6,0.95
SCP2,0.047,0.6,0.95
SERGEF,-0.08,0.6,0.95
SLC12A4,-0.056,0.6,0.95
SLC51B,-0.13,0.6,0.95
SLC5A6,-0.043,0.6,0.95
SLITRK5,-0.13,0.6,0.95
SNRPB,-0.069,0.6,0.95
SPTSSA,-0.055,0.6,0.95
STIP1,-0.051,0.6,0.95
STRADA,-0.064,0.6,0.95
SUPT5H,0.048,0.6,0.95
SYT15,0.16,0.6,0.95
TBC1D22B,-0.091,0.6,0.95
TIAF1,-0.27,0.6,0.95
TMEM225B,-0.22,0.6,0.95
TRIM28,-0.062,0.6,0.95
TRMT11,0.075,0.6,0.95
TTC32,0.084,0.6,0.95
UBE2N,-0.048,0.6,0.95
UFSP1,0.12,0.6,0.95
USP30,0.096,0.6,0.95
UTP3,0.08,0.6,0.95
VCP,-0.042,0.6,0.95
YBX1,0.049,0.6,0.95
ZCCHC24,0.077,0.6,0.95
ZFP64,-0.08,0.6,0.95
ZNF358,0.092,0.6,0.95
ZNF396,0.18,0.6,0.95
ZNF431,-0.081,0.6,0.95
ZNF589,-0.13,0.6,0.95
ZNF598,0.055,0.6,0.95
ZRANB1,0.088,0.6,0.95
ZRANB2,-0.066,0.6,0.95
ABHD13,0.075,0.61,0.95
ADGRE2,0.19,0.61,0.95
AMDHD2,-0.074,0.61,0.95
AMN,-0.2,0.61,0.95
ANKRD28,0.056,0.61,0.95
AP1M2,-0.089,0.61,0.95
ARAP2,0.21,0.61,0.95
ARMC9,0.08,0.61,0.95
ASPHD2,0.16,0.61,0.95
ATL3,0.073,0.61,0.95
ATR,-0.054,0.61,0.95
ATXN7L3B,-0.059,0.61,0.95
BEND6,-0.13,0.61,0.95
BNIP2,0.051,0.61,0.95
C12orf75,-0.058,0.61,0.95
CCDC43,0.068,0.61,0.95
CCNL2,0.061,0.61,0.95
CD34,0.24,0.61,0.95
CENPJ,-0.069,0.61,0.95
CHRNB4,-0.21,0.61,0.95
COX14,0.062,0.61,0.95
CPT1C,-0.11,0.61,0.95
CS,0.073,0.61,0.95
DAP3,-0.054,0.61,0.95
description:NLR,1.1,0.61,0.95
DGCR6,-0.13,0.61,0.95
DHX32,-0.046,0.61,0.95
DNM3,-0.29,0.61,0.95
EFR3B,-0.13,0.61,0.95
EIF4ENIF1,0.079,0.61,0.95
ENGASE,0.066,0.61,0.95
FA2H,0.12,0.61,0.95
FAM168B,0.047,0.61,0.95
FAM21FP,0.2,0.61,0.95
FAM86DP,0.098,0.61,0.95
FBXL5,0.047,0.61,0.95
FNBP1L,0.058,0.61,0.95
FOXN3,0.087,0.61,0.95
FOXP4,0.13,0.61,0.95
GET1,-0.049,0.61,0.95
GJC1,-0.079,0.61,0.95
GLYR1,-0.042,0.61,0.95
GPBP1,0.045,0.61,0.95
GRPEL2,-0.073,0.61,0.95
HPS3,-0.052,0.61,0.95
HSCB,-0.093,0.61,0.95
HSF2,0.099,0.61,0.95
IER5L,-0.1,0.61,0.95
IFT172,-0.075,0.61,0.95
IGSF1,-0.15,0.61,0.95
ITGAM,0.17,0.61,0.95
KDELR3,-0.083,0.61,0.95
KIAA1958,-0.085,0.61,0.95
KIF27,0.11,0.61,0.95
L3MBTL2,-0.069,0.61,0.95
LAMC1,0.061,0.61,0.95
LOXL3,-0.23,0.61,0.95
"1,00 LSM",0.063,0.61,0.95
MED13,0.062,0.61,0.95
METTL25,-0.11,0.61,0.95
MRTFA,0.1,0.61,0.95
MTCH1,0.044,0.61,0.95
MTX3,0.066,0.61,0.95
NAPEPLD,-0.093,0.61,0.95
NFASC,-0.27,0.61,0.95
OR7E122P,0.13,0.61,0.95
PARP6,0.049,0.61,0.95
PCDHB2,0.11,0.61,0.95
PDCD5,0.045,0.61,0.95
PDE3B,-0.072,0.61,0.95
PDF,-0.078,0.61,0.95
PI3,-0.45,0.61,0.95
PLAGL2,0.095,0.61,0.95
PLD3,-0.041,0.61,0.95
PRRC2B,0.069,0.61,0.95
PSMD13,-0.062,0.61,0.95
PTPN2,-0.068,0.61,0.95
PTPN20,-0.097,0.61,0.95
RAB11FIP1,0.14,0.61,0.95
RAB30,0.086,0.61,0.95
RASSF8,-0.1,0.61,0.95
RHBDL1,0.18,0.61,0.95
RPL18,0.054,0.61,0.95
RPP40,-0.076,0.61,0.95
RPS15A,0.11,0.61,0.95
RRN3,0.064,0.61,0.95
RRP1,0.054,0.61,0.95
SCNN1D,-0.14,0.61,0.95
SFXN3,0.068,0.61,0.95
SLC29A3,0.086,0.61,0.95
SLC7A5P1,0.18,0.61,0.95
SMPDL3A,-0.14,0.61,0.95
SNTA1,0.059,0.61,0.95
SOX4,-0.062,0.61,0.95
SPART,0.061,0.61,0.95
SRPRB,-0.053,0.61,0.95
STX4,0.065,0.61,0.95
SULT1C2,0.22,0.61,0.95
TMEM268,-0.082,0.61,0.95
TNFAIP8L3,0.23,0.61,0.95
TRAPPC2L,-0.066,0.61,0.95
TRIM11,-0.046,0.61,0.95
TRIT1,0.085,0.61,0.95
TSEN15,0.052,0.61,0.95
TSTD2,0.057,0.61,0.95
TTC38,-0.065,0.61,0.95
TXNL4B,0.072,0.61,0.95
USF3,0.1,0.61,0.95
VANGL2,0.12,0.61,0.95
VAPA,0.043,0.61,0.95
WDR11,0.05,0.61,0.95
XK,-0.25,0.61,0.95
XPOT,0.055,0.61,0.95
ZCCHC10,-0.092,0.61,0.95
ZNF284,0.21,0.61,0.95
ZNF34,-0.11,0.61,0.95
ZNF597,-0.12,0.61,0.95
ATP5F1C,0.085,0.62,0.95
BTBD10,0.065,0.62,0.95
CALB1,-0.14,0.62,0.95
CCDC126,0.11,0.62,0.95
CUL2,0.051,0.62,0.95
FAM227B,0.19,0.62,0.95
FBXO6,0.1,0.62,0.95
FNBP1,0.08,0.62,0.95
GRIN2D,0.098,0.62,0.95
HDAC1,0.046,0.62,0.95
LRRC49,-0.082,0.62,0.95
NALCN,-0.15,0.62,0.95
NAPB,-0.092,0.62,0.95
NDUFS4,-0.094,0.62,0.95
PERM1,-0.34,0.62,0.95
PEX10,-0.061,0.62,0.95
PHC3,0.072,0.62,0.95
PIBF1,0.078,0.62,0.95
PYGO1,-0.063,0.62,0.95
RBMS3,0.17,0.62,0.95
RREB1,0.066,0.62,0.95
SEC24C,-0.056,0.62,0.95
SON,0.059,0.62,0.95
STOML1,0.078,0.62,0.95
USP38,0.084,0.62,0.95
VMO1,-0.24,0.62,0.95
VPS28,0.063,0.62,0.95
VWCE,0.24,0.62,0.95
AAR2,0.046,0.62,0.96
AATF,-0.067,0.62,0.96
ADGRV1,-0.13,0.62,0.96
AIFM2,0.054,0.62,0.96
AKAP8L,0.06,0.62,0.96
ALAS1,0.053,0.62,0.96
ANKRD29,0.13,0.62,0.96
ARFGEF2,0.055,0.62,0.96
ARHGAP11B,0.12,0.62,0.96
ARHGAP22,-0.11,0.62,0.96
ATP5PB,0.042,0.62,0.96
BANF1,-0.055,0.62,0.96
BBS9,0.084,0.62,0.96
BMS1P8,-0.19,0.62,0.96
C1orf56,0.091,0.62,0.96
C4A,-0.24,0.62,0.96
CDK11A,-0.078,0.62,0.96
CLIP1,-0.062,0.62,0.96
1 COP,0.054,0.62,0.96
CORO6,-0.074,0.62,0.96
CPNE4,-0.091,0.62,0.96
CYP2T1P,0.3,0.62,0.96
DHX9,0.039,0.62,0.96
DPH6,0.07,0.62,0.96
EIF1AX,-0.045,0.62,0.96
EML3,0.057,0.62,0.96
F12,0.11,0.62,0.96
FAM171A2,0.11,0.62,0.96
FAM193A,-0.091,0.62,0.96
FOCAD,-0.082,0.62,0.96
GALT,0.063,0.62,0.96
GRSF1,-0.042,0.62,0.96
HNRNPA1,0.065,0.62,0.96
HNRNPAB,-0.058,0.62,0.96
INVS,0.076,0.62,0.96
KCTD19,0.31,0.62,0.96
KLHDC9,0.18,0.62,0.96
KLRA1P,-0.22,0.62,0.96
LAG3,-0.19,0.62,0.96
LCOR,0.055,0.62,0.96
LDLRAD2,-0.39,0.62,0.96
LGR6,-0.28,0.62,0.96
LHFPL5,0.18,0.62,0.96
LIN7B,-0.12,0.62,0.96
LIPH,0.089,0.62,0.96
LRSAM1,0.07,0.62,0.96
MICALL2,-0.066,0.62,0.96
MOB3C,-0.12,0.62,0.96
MRPS31,-0.08,0.62,0.96
MTMR1,0.076,0.62,0.96
NBDY,0.061,0.62,0.96
NINJ1,0.051,0.62,0.96
NKAP,-0.05,0.62,0.96
PACC1,-0.077,0.62,0.96
PHF10,0.054,0.62,0.96
PHLDB3,-0.097,0.62,0.96
PHYKPL,0.074,0.62,0.96
PIGF,-0.068,0.62,0.96
PIP5KL1,0.19,0.62,0.96
POLR1C,0.064,0.62,0.96
POU6F1,-0.21,0.62,0.96
PPAN,0.051,0.62,0.96
PPP3CC,-0.082,0.62,0.96
PRDM1,0.13,0.62,0.96
PSMA3,0.059,0.62,0.96
PSMB5,-0.042,0.62,0.96
PSMB6,-0.052,0.62,0.96
PTGR2,-0.078,0.62,0.96
PTPN4,0.062,0.62,0.96
PYURF,-0.076,0.62,0.96
RBFOX3,-0.086,0.62,0.96
RCN1,-0.052,0.62,0.96
REL,0.064,0.62,0.96
RNPS1,0.044,0.62,0.96
RPS11,0.067,0.62,0.96
RPS20,0.062,0.62,0.96
RTL8C,0.059,0.62,0.96
SAMD11,-0.14,0.62,0.96
SCOC,-0.085,0.62,0.96
SERPINE2,-0.13,0.62,0.96
SERPINH1,-0.047,0.62,0.96
SETD1A,0.057,0.62,0.96
SIDT1,-0.27,0.62,0.96
SMAD5,0.047,0.62,0.96
SNX15,0.062,0.62,0.96
SORCS2,-0.18,0.62,0.96
2 SOS,0.061,0.62,0.96
SPNS2,0.25,0.62,0.96
SPTY2D1OS,-0.28,0.62,0.96
STRN3,0.056,0.62,0.96
SVBP,0.097,0.62,0.96
TFDP1,-0.054,0.62,0.96
TLN1,0.069,0.62,0.96
TLR6,-0.07,0.62,0.96
TMC8,-0.27,0.62,0.96
TMED9,-0.055,0.62,0.96
TMEM220,-0.11,0.62,0.96
TRIM52,0.073,0.62,0.96
UBQLN2,-0.079,0.62,0.96
UHMK1,0.063,0.62,0.96
USP5,-0.043,0.62,0.96
WDR37,0.077,0.62,0.96
YDJC,-0.064,0.62,0.96
ZFPL1,-0.07,0.62,0.96
ZNF16,-0.093,0.62,0.96
ZNF599,-0.14,0.62,0.96
AAGAB,-0.05,0.63,0.96
ADCY7,-0.067,0.63,0.96
AGAP12P,0.19,0.63,0.96
AK6,-0.097,0.63,0.96
ANAPC11,0.073,0.63,0.96
ANK2,-0.13,0.63,0.96
ANKRD13A,-0.078,0.63,0.96
ARL5A,0.058,0.63,0.96
ASAP3,-0.074,0.63,0.96
ATP8B4,-0.15,0.63,0.96
ATPAF1,0.051,0.63,0.96
B3GALT4,0.25,0.63,0.96
BAIAP2L2,-0.093,0.63,0.96
C13orf42,-0.14,0.63,0.96
C1QBP,-0.056,0.63,0.96
CA14,-0.32,0.63,0.96
CCDC28B,0.11,0.63,0.96
CDH24,-0.097,0.63,0.96
CDK12,0.058,0.63,0.96
CETN4P,-0.24,0.63,0.96
CISD2,0.076,0.63,0.96
CLPSL2,-0.27,0.63,0.96
CORO2B,-0.23,0.63,0.96
COX7A2,0.1,0.63,0.96
CYP4F29P,0.21,0.63,0.96
DDX49,-0.055,0.63,0.96
description:Finkel-Biskis-Reilly,0.074,0.63,0.96
description:purinergic,0.21,0.63,0.96
DMTN,0.072,0.63,0.96
DUSP19,0.1,0.63,0.96
EPC2,0.064,0.63,0.96
ERVW-1,-0.17,0.63,0.96
EXOC5,0.043,0.63,0.96
FAM241A,-0.051,0.63,0.96
GABARAPL1,-0.08,0.63,0.96
GALE,-0.051,0.63,0.96
GCN1,0.054,0.63,0.96
GLIPR1,-0.089,0.63,0.96
GNL2,-0.044,0.63,0.96
GRAMD1A,0.044,0.63,0.96
HDAC2,-0.053,0.63,0.96
HR,0.11,0.63,0.96
ID1,0.085,0.63,0.96
IL18BP,0.13,0.63,0.96
IPO7,0.052,0.63,0.96
ISG20L2,-0.046,0.63,0.96
KAT7,-0.064,0.63,0.96
KDM8,-0.14,0.63,0.96
KIAA0408,0.47,0.63,0.96
KIF5C,-0.27,0.63,0.96
KLHL11,0.078,0.63,0.96
KPNA6,0.067,0.63,0.96
LEAP2,-0.23,0.63,0.96
LLGL1,0.052,0.63,0.96
LNPEP,-0.053,0.63,0.96
LRP2BP,-0.22,0.63,0.96
MAP4K5,-0.048,0.63,0.96
MBNL2,0.074,0.63,0.96
MED18,0.071,0.63,0.96
MED28,-0.056,0.63,0.96
METTL4,-0.08,0.63,0.96
MINPP1,-0.065,0.63,0.96
MZF1,0.051,0.63,0.96
NDRG3,-0.052,0.63,0.96
NELFCD,-0.045,0.63,0.96
NIPSNAP3B,0.17,0.63,0.96
NXPE3,0.047,0.63,0.96
OGDH,-0.052,0.63,0.96
OR4K17,-0.21,0.63,0.96
OVGP1,-0.18,0.63,0.96
PCDHA10,0.25,0.63,0.96
PEAR1,-0.14,0.63,0.96
"1,00 PES",0.049,0.63,0.96
PGRMC1,-0.041,0.63,0.96
PHLDB2,0.082,0.63,0.96
PKD1P6,-0.057,0.63,0.96
PLK3,-0.072,0.63,0.96
PLOD1,-0.042,0.63,0.96
PMPCA,0.042,0.63,0.96
PPP2R1B,0.061,0.63,0.96
PPRC1,0.067,0.63,0.96
PRDM4,0.08,0.63,0.96
PROB1,0.13,0.63,0.96
PRX,-0.099,0.63,0.96
PTPN1,0.07,0.63,0.96
PTPN18,0.057,0.63,0.96
PYROXD2,0.12,0.63,0.96
R3HDM1,0.074,0.63,0.96
RAB3GAP1,0.058,0.63,0.96
RAB43P1,-1.8,0.63,0.96
RABGGTB,-0.061,0.63,0.96
RASA4,-0.12,0.63,0.96
RBBP5,-0.055,0.63,0.96
RERE,-0.073,0.63,0.96
RHPN1,0.065,0.63,0.96
SC5D,-0.053,0.63,0.96
SCARB2,0.055,0.63,0.96
SDCBP,0.056,0.63,0.96
SEC22C,0.053,0.63,0.96
SETBP1,-0.16,0.63,0.96
SH2D5,-0.081,0.63,0.96
SHC2,0.2,0.63,0.96
SLC37A1,-0.12,0.63,0.96
SMCR8,0.056,0.63,0.96
SOD1,0.044,0.63,0.96
SOX17,-0.31,0.63,0.96
SPDYE16,0.2,0.63,0.96
SPINT2,0.063,0.63,0.96
SRPX,0.19,0.63,0.96
SZRD1,-0.045,0.63,0.96
TAF5,0.14,0.63,0.96
TASOR2,-0.061,0.63,0.96
TCF25,-0.043,0.63,0.96
TCOF1,-0.06,0.63,0.96
TDRP,0.052,0.63,0.96
THUMPD2,-0.079,0.63,0.96
TMED5,0.047,0.63,0.96
TRABD2B,0.34,0.63,0.96
TRAPPC14,0.077,0.63,0.96
TUBA3D,-0.42,0.63,0.96
WASHC1,-0.1,0.63,0.96
WWOX,-0.092,0.63,0.96
YPEL1,0.25,0.63,0.96
ZBTB8OS,-0.072,0.63,0.96
ZNF567,-0.081,0.63,0.96
ZNF586,-0.1,0.63,0.96
ABCD4,0.049,0.64,0.96
ACTG1,0.067,0.64,0.96
ADH5,-0.061,0.64,0.96
AKAP10,0.046,0.64,0.96
ALG6,-0.08,0.64,0.96
ANXA7,-0.048,0.64,0.96
B2M,0.055,0.64,0.96
BAG6,0.058,0.64,0.96
BCL7B,0.04,0.64,0.96
BICD2,0.065,0.64,0.96
BLOC1S4,0.06,0.64,0.96
BOK,0.076,0.64,0.96
BRD7,-0.078,0.64,0.96
BRSK2,-0.11,0.64,0.96
C17orf58,-0.076,0.64,0.96
C2orf76,-0.11,0.64,0.96
C5orf51,0.076,0.64,0.96
CCAR2,-0.044,0.64,0.96
CCDC171,0.12,0.64,0.96
CCDC30,0.11,0.64,0.96
CCZ1B,0.045,0.64,0.96
CETN3,-0.1,0.64,0.96
CLEC11A,0.12,0.64,0.96
CLN3,0.056,0.64,0.96
COQ10A,-0.059,0.64,0.96
CTHRC1,0.19,0.64,0.96
CYB561D1,-0.069,0.64,0.96
DENND2C,0.24,0.64,0.96
DUSP28,0.095,0.64,0.96
DUXAP8,0.16,0.64,0.96
DYNC2LI1,-0.081,0.64,0.96
DYNLL1,-0.043,0.64,0.96
EFHB,0.15,0.64,0.96
EIF2AK3,-0.075,0.64,0.96
ELAVL1,0.047,0.64,0.96
ELP5,0.055,0.64,0.96
EMILIN3,0.35,0.64,0.96
EP400P1,0.073,0.64,0.96
ERMP1,-0.048,0.64,0.96
FAM174B,0.13,0.64,0.96
FBXL22,0.3,0.64,0.96
FES,-0.17,0.64,0.96
FGA,-0.13,0.64,0.96
FUNDC1,-0.065,0.64,0.96
GGA2,0.043,0.64,0.96
GGPS1,-0.049,0.64,0.96
GPSM2,0.063,0.64,0.96
GPX8,-0.044,0.64,0.96
GRAMD2B,0.26,0.64,0.96
HNRNPUL2-BSCL2,0.087,0.64,0.96
IFFO1,-0.18,0.64,0.96
IFNE,-0.2,0.64,0.96
IGFBPL1,-0.097,0.64,0.96
IK,-0.07,0.64,0.96
INA,0.089,0.64,0.96
KIAA1549L,0.11,0.64,0.96
LRCH3,0.079,0.64,0.96
MANSC4,-0.41,0.64,0.96
MELTF,0.082,0.64,0.96
MPRIP,0.067,0.64,0.96
MRPS12,0.044,0.64,0.96
MT-ATP8,0.15,0.64,0.96
MYNN,-0.077,0.64,0.96
NDUFB1,0.095,0.64,0.96
NKAIN1,-0.26,0.64,0.96
NR2F2,0.068,0.64,0.96
OBSCN,-0.072,0.64,0.96
ORC2,0.057,0.64,0.96
ORC4,0.058,0.64,0.96
PANK3,0.04,0.64,0.96
PCNX3,0.056,0.64,0.96
PDGFRL,-0.1,0.64,0.96
PJVK,0.14,0.64,0.96
PMS2P3,-0.11,0.64,0.96
POLR3GL,0.07,0.64,0.96
PPM1H,0.067,0.64,0.96
PPP1R21,-0.043,0.64,0.96
PRKCG,-0.15,0.64,0.96
PXYLP1,-0.087,0.64,0.96
RNPEP,-0.059,0.64,0.96
RPL13P5,0.075,0.64,0.96
RPL3,-0.048,0.64,0.96
RPP25,-0.052,0.64,0.96
RPS15,0.06,0.64,0.96
RPS19BP1,0.068,0.64,0.96
RSBN1,0.075,0.64,0.96
RSPH3,0.068,0.64,0.96
RYK,0.056,0.64,0.96
SCPEP1,-0.055,0.64,0.96
SHB,0.071,0.64,0.96
SLC26A10,0.41,0.64,0.96
STK16,-0.065,0.64,0.96
STYK1,0.22,0.64,0.96
TARBP1,-0.054,0.64,0.96
THAP2,0.098,0.64,0.96
TIMM23B,-0.067,0.64,0.96
TMEM160,0.09,0.64,0.96
TMEM245,-0.05,0.64,0.96
TPM4,0.061,0.64,0.96
TRAF3,0.044,0.64,0.96
TRPV3,0.17,0.64,0.96
TSGA13,-0.22,0.64,0.96
TTC13,-0.06,0.64,0.96
UNC5CL,-0.14,0.64,0.96
VPS13B,0.061,0.64,0.96
VSIG1,-0.16,0.64,0.96
VTI1B,0.043,0.64,0.96
VWA1,-0.079,0.64,0.96
VWA5A,-0.21,0.64,0.96
ZNF324,0.067,0.64,0.96
ZNF652,0.064,0.64,0.96
ACACA,-0.045,0.65,0.96
ADAM22,-0.17,0.65,0.96
ADORA2B,0.076,0.65,0.96
AKR1C3,0.06,0.65,0.96
ALDH3A1,0.094,0.65,0.96
ALPP,0.3,0.65,0.96
APTX,-0.044,0.65,0.96
ARNT2,-0.051,0.65,0.96
ATG4D,0.081,0.65,0.96
ATG5,0.062,0.65,0.96
ATP11A,-0.074,0.65,0.96
ATP7A,0.051,0.65,0.96
BACE1,0.11,0.65,0.96
BCORP1,0.24,0.65,0.96
BORCS8-MEF2B,0.58,0.65,0.96
BUB3,-0.061,0.65,0.96
C12orf57,-0.073,0.65,0.96
C6orf89,-0.044,0.65,0.96
C9orf40,-0.062,0.65,0.96
CACFD1,0.077,0.65,0.96
CAPG,0.077,0.65,0.96
CCDC144B,0.13,0.65,0.96
CCDC33,0.099,0.65,0.96
CHFR,-0.06,0.65,0.96
CHST15,0.11,0.65,0.96
CHSY1,-0.055,0.65,0.96
CLBA1,-0.083,0.65,0.96
CLN8,0.059,0.65,0.96
CLPTM1,0.048,0.65,0.96
COMMD7,-0.046,0.65,0.96
COPS8,0.046,0.65,0.96
COX19,-0.07,0.65,0.96
CPLANE2,-0.13,0.65,0.96
DBIL5P,-0.19,0.65,0.96
description:EF-hand,0.21,0.65,0.96
description:MAFF,0.18,0.65,0.96
description:potassium,0.1,0.65,0.96
DGCR6L,-0.068,0.65,0.96
DNAAF4,-0.11,0.65,0.96
DUT,-0.057,0.65,0.96
EFCAB2,0.097,0.65,0.96
EIF4A3,0.048,0.65,0.96
ELOA,-0.071,0.65,0.96
ENTPD6,0.046,0.65,0.96
EPHA4,-0.18,0.65,0.96
EXOC8,0.069,0.65,0.96
FAM50B,0.078,0.65,0.96
FANCF,0.048,0.65,0.96
FBXW8,-0.069,0.65,0.96
FKBP14,0.072,0.65,0.96
FMC1-LUC7L2,-0.23,0.65,0.96
FPGT-TNNI3K,0.37,0.65,0.96
GBX2,-0.17,0.65,0.96
GNAZ,-0.13,0.65,0.96
GPAT4,0.05,0.65,0.96
HARBI1,0.098,0.65,0.96
HSPA13,-0.071,0.65,0.96
IDNK,-0.078,0.65,0.96
IER2,-0.047,0.65,0.96
IFTAP,0.069,0.65,0.96
ILVBL,-0.063,0.65,0.96
IMMT,-0.049,0.65,0.96
INPP5E,0.062,0.65,0.96
IST1,-0.04,0.65,0.96
KATNA1,0.092,0.65,0.96
KCNAB2,0.074,0.65,0.96
KCNK15,0.2,0.65,0.96
KCNK5,-0.082,0.65,0.96
KCNN4,0.065,0.65,0.96
KIAA0319L,0.048,0.65,0.96
KIZ,0.078,0.65,0.96
LCMT2,0.067,0.65,0.96
LRRC37A4P,-0.079,0.65,0.96
LRRC41,0.04,0.65,0.96
LTV1,-0.058,0.65,0.96
MARCHF7,-0.048,0.65,0.96
METAP2,-0.046,0.65,0.96
MFHAS1,-0.04,0.65,0.96
MITD1,-0.079,0.65,0.96
MLEC,0.042,0.65,0.96
MRO,-0.19,0.65,0.96
NAA40,-0.043,0.65,0.96
NAT1,0.083,0.65,0.96
ORAI3,0.062,0.65,0.96
OSBPL8,0.047,0.65,0.96
PACSIN1,0.19,0.65,0.96
PATL1,-0.057,0.65,0.96
PCBP1,-0.038,0.65,0.96
PCSK5,0.12,0.65,0.96
PDGFC,0.1,0.65,0.96
POLN,-0.17,0.65,0.96
POLR2K,-0.09,0.65,0.96
PPIL6,0.13,0.65,0.96
RFX3,0.082,0.65,0.96
RHOT2,0.057,0.65,0.96
RIC8A,0.04,0.65,0.96
RNA5-8SP6,0.14,0.65,0.96
RNASEH2B,0.049,0.65,0.96
RNF138,-0.064,0.65,0.96
RUVBL1,-0.048,0.65,0.96
RUVBL2,-0.058,0.65,0.96
SCRN2,-0.057,0.65,0.96
SCX,0.18,0.65,0.96
SEC61B,0.043,0.65,0.96
SLC24A1,-0.091,0.65,0.96
SLC25A21,-0.19,0.65,0.96
SLC35E1,-0.056,0.65,0.96
SLC52A1,0.14,0.65,0.96
SMCHD1,0.047,0.65,0.96
SNTB1,-0.22,0.65,0.96
